key,primary,dataset,feature,family,setting,H,phase,loss,score,decode_failure,scale,constant_scale_fallback
WDBC__00,True,WDBC,mean radius,Heatmap,64,128,0.75,0.03532132103546462,96.58837113485325,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,64,256,0.0,0.02102207503997986,97.94107536419752,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,64,256,0.25,0.02102207503997986,97.94107536419752,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,64,256,0.5,0.02102207503997986,97.94107536419752,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,64,256,0.75,0.02102207503997986,97.94107536419752,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,64,512,0.0,0.018955077061083257,98.13975341133248,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,64,512,0.25,0.018955077061083257,98.13975341133248,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,64,512,0.5,0.018955077061083257,98.13975341133248,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,64,512,0.75,0.018955077061083257,98.13975341133248,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,128,0.0,0.24727540053731914,80.1747552761167,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,128,0.25,0.2476717803590299,80.14928410997965,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,128,0.5,0.2455734135044959,80.2843083481077,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,128,0.75,0.247396696961803,80.16695911057245,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,256,0.0,0.24653985203047452,80.22206416995907,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,256,0.25,0.2481014003274412,80.1216952194468,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,256,0.5,0.24962437373730606,80.02404730705247,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,256,0.75,0.24868203736713632,80.08443863807908,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,512,0.0,0.24367982884818853,80.406546508528,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,512,0.25,0.24362430409291794,80.4101364623447,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,512,0.5,0.24378016895835855,80.40005983030589,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,8,512,0.75,0.24378438332856303,80.39978740719049,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,16,128,0.0,0.08366566148385136,92.27938427344013,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,16,128,0.25,0.08623124057495188,92.06142878662659,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,16,128,0.5,0.08098979547796348,92.50781128399518,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,16,128,0.75,0.0829971035490583,92.33635036722897,,2.410516653707913,False
