key,family,configuration,retained_values,error,error_ratio,qualifies,retention_cost,score,selected
WDBC__14,Violin,64-point density per group,130,0.0003515649347118552,0.1724642741002475,True,130.08623213705013,0.007687208581354459,False
WDBC__14,Violin,128-point density per group,258,0.0003437078994230156,0.16860991391276078,True,258.0843049569564,0.003874702881164282,False
WDBC__14,Violin,256-point density per group,514,0.0003423166522596617,0.16792742141014952,True,514.0839637107051,0.0019452075353253745,False
WDBC__15,Bar,Mean bars,2,0.006328300618212098,0.34100208591687514,True,2.1705010429584375,0.46072311425244905,True
WDBC__15,Dot,Mean dots,2,0.006328300618212098,0.34100208591687514,True,2.1705010429584375,0.46072311425244905,True
WDBC__15,Interval,Means with intervals,6,0.006328300618212098,0.34100208591687514,True,6.1705010429584375,0.1620613938865087,False
WDBC__15,Forest,Mean contrast with interval,3,0.006328300618212098,0.34100208591687514,True,3.1705010429584375,0.31540756065069336,False
WDBC__15,Box,Min-max box with mean markers,12,0.012462415730337177,0.6715404365238424,True,12.33577021826192,0.08106506381900631,False
WDBC__15,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__15,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__15,Histogram,10 common bins,22,0.002901173663799302,0.15633047964181077,True,22.078165239820905,0.04529361879203472,False
WDBC__15,Heatmap,10 common bins,22,0.002901173663799302,0.15633047964181077,True,22.078165239820905,0.04529361879203472,False
