key,dataset,feature,unit,labels,stratum,mean_error_ratio,box_error_ratio,bootstrap_agreement,n_x,n_y,paired,scale,epsilon,uncertainty_radius,resolution_floor,eta,mean_difference,median_difference,iqr_difference,selected,score
ILPD__07,ILPD,albumin,source units,"['No liver disease', 'Liver disease']",Mean summary sufficient,0.4325310916628288,1.1108433734939789,0.98989898989899,167,416,False,0.7857657472472728,0.49999999999999956,0.49999999999999956,0.07857657472472729,0.1,-0.2837344541685858,-0.3999999999999999,0.02499999999999991,Bar; Dot,0.4512094689559676
ILPD__08,ILPD,albumin_globulin_ratio,source units,"['No liver disease', 'Liver disease']",Mean summary sufficient,0.3846567120480163,2.6230831315577072,0.98989898989899,165,414,False,0.3155840808565631,0.30000000000000004,0.30000000000000004,0.03155840808565631,0.1,-0.11539701361440491,-0.09999999999999998,0.1000000000000002,Bar; Dot,0.456136051541838
Parkinsons__00,Parkinsons,MDVP:Fo(Hz),source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.35226508137729495,0.21456157197403897,1.0,8,24,False,38.843281639596135,100.20920000000001,100.20920000000001,3.884328163959614,0.1,-38.951854166666664,-54.06675000000001,-61.559250000000006,Bar; Dot,0.4595308333947091
Parkinsons__01,Parkinsons,MDVP:Fhi(Hz),source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.19695351255682253,0.6934387314167227,0.9696969696969697,8,24,False,64.61290001024048,217.94665217391307,217.94665217391307,6.461290001024048,0.1,-29.970749999999953,-62.21125000000001,1.1808749999999577,Bar; Dot,0.4765361336541423
Parkinsons__02,Parkinsons,MDVP:Flo(Hz),source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.4065815010824119,0.18046109436630373,1.0,8,24,False,38.37775959984923,102.29616708074538,102.29616708074538,3.837775959984923,0.1,-42.96377083333333,-36.71575,-59.593,Bar; Dot,0.453866562892058
Parkinsons__03,Parkinsons,MDVP:Jitter(%),source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.7838286128456723,0.37105263157894747,0.9797979797979798,8,24,False,0.003408574466816492,0.009747826086956523,0.009747826086956523,0.0003408574466816492,0.1,0.002799374999999999,0.0015775,0.00172375,Bar; Dot,0.4180751782431217
Parkinsons__04,Parkinsons,MDVP:Jitter(Abs),source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.6497571001494784,0.7118834080717503,0.7878787878787878,8,24,False,2.5069770696553603e-05,4.45999999999999e-05,4.45999999999999e-05,2.5069770696553604e-06,0.1,2.527083333333333e-05,1.7500000000000002e-05,9.999999999999999e-06,Bar; Dot,0.43012999537883495
Parkinsons__05,Parkinsons,MDVP:RAP,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.7451252018895631,0.5149914386680757,0.9595959595959596,8,24,False,0.0020551569705526416,0.005967173913043479,0.005967173913043479,0.00020551569705526418,0.1,0.0016264583333333337,0.0011825000000000004,0.0012887500000000006,Bar; Dot,0.42148519057064654
Parkinsons__06,Parkinsons,MDVP:PPQ,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.8406286498746621,0.26296307189931073,0.8888888888888888,8,24,False,0.002041852100422555,0.0052106836956521685,0.0052106836956521685,0.00020418521004225552,0.1,0.0016824999999999995,0.0013299999999999996,0.0008562499999999998,Bar; Dot,0.4131694754258387
Parkinsons__07,Parkinsons,Jitter:DDP,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.7437845303867391,0.515010785248595,0.9595959595959596,8,24,False,0.006163952998076803,0.017918999999999997,0.017918999999999997,0.0006163952998076804,0.1,0.004879374999999999,0.0035474999999999994,0.003871249999999999,Bar; Dot,0.42160430921531533
