key,dataset,feature,primary,n_A,n_B,contract,configuration,representation,N
Parkinsons__04,Parkinsons,MDVP:Jitter(Abs),False,8,24,legacy_box,means,Means,2
Parkinsons__04,Parkinsons,MDVP:Jitter(Abs),False,8,24,free_parameters,means,Means,2
Parkinsons__04,Parkinsons,MDVP:Jitter(Abs),False,8,24,equal,raw,Observations,32
Parkinsons__05,Parkinsons,MDVP:RAP,False,8,24,payload,means,Means,2
Parkinsons__05,Parkinsons,MDVP:RAP,False,8,24,legacy_box,means,Means,2
Parkinsons__05,Parkinsons,MDVP:RAP,False,8,24,free_parameters,means,Means,2
Parkinsons__05,Parkinsons,MDVP:RAP,False,8,24,equal,raw,Observations,32
Parkinsons__06,Parkinsons,MDVP:PPQ,False,8,24,payload,means,Means,2
Parkinsons__06,Parkinsons,MDVP:PPQ,False,8,24,legacy_box,means,Means,2
Parkinsons__06,Parkinsons,MDVP:PPQ,False,8,24,free_parameters,means,Means,2
Parkinsons__06,Parkinsons,MDVP:PPQ,False,8,24,equal,raw,Observations,32
Parkinsons__07,Parkinsons,Jitter:DDP,False,8,24,payload,means,Means,2
Parkinsons__07,Parkinsons,Jitter:DDP,False,8,24,legacy_box,means,Means,2
Parkinsons__07,Parkinsons,Jitter:DDP,False,8,24,free_parameters,means,Means,2
Parkinsons__07,Parkinsons,Jitter:DDP,False,8,24,equal,raw,Observations,32
Parkinsons__08,Parkinsons,MDVP:Shimmer,False,8,24,payload,bins_4,Binned,10
Parkinsons__08,Parkinsons,MDVP:Shimmer,False,8,24,legacy_box,bins_4,Binned,10
Parkinsons__08,Parkinsons,MDVP:Shimmer,False,8,24,free_parameters,bins_4,Binned,10
Parkinsons__08,Parkinsons,MDVP:Shimmer,False,8,24,equal,raw,Observations,32
Parkinsons__09,Parkinsons,MDVP:Shimmer(dB),False,8,24,payload,means,Means,2
Parkinsons__09,Parkinsons,MDVP:Shimmer(dB),False,8,24,legacy_box,means,Means,2
Parkinsons__09,Parkinsons,MDVP:Shimmer(dB),False,8,24,free_parameters,means,Means,2
Parkinsons__09,Parkinsons,MDVP:Shimmer(dB),False,8,24,equal,raw,Observations,32
Parkinsons__10,Parkinsons,Shimmer:APQ3,False,8,24,payload,five_number,Five-number,10
Parkinsons__10,Parkinsons,Shimmer:APQ3,False,8,24,legacy_box,bins_4,Binned,10
Parkinsons__10,Parkinsons,Shimmer:APQ3,False,8,24,free_parameters,bins_4,Binned,10
Parkinsons__10,Parkinsons,Shimmer:APQ3,False,8,24,equal,raw,Observations,32
Parkinsons__11,Parkinsons,Shimmer:APQ5,False,8,24,payload,bins_4,Binned,10
Parkinsons__11,Parkinsons,Shimmer:APQ5,False,8,24,legacy_box,bins_4,Binned,10
Parkinsons__11,Parkinsons,Shimmer:APQ5,False,8,24,free_parameters,bins_4,Binned,10
Parkinsons__11,Parkinsons,Shimmer:APQ5,False,8,24,equal,raw,Observations,32
Parkinsons__12,Parkinsons,MDVP:APQ,False,8,24,payload,means,Means,2
Parkinsons__12,Parkinsons,MDVP:APQ,False,8,24,legacy_box,means,Means,2
Parkinsons__12,Parkinsons,MDVP:APQ,False,8,24,free_parameters,means,Means,2
Parkinsons__12,Parkinsons,MDVP:APQ,False,8,24,equal,raw,Observations,32
Parkinsons__13,Parkinsons,Shimmer:DDA,False,8,24,payload,five_number,Five-number,10
Parkinsons__13,Parkinsons,Shimmer:DDA,False,8,24,legacy_box,bins_4,Binned,10
Parkinsons__13,Parkinsons,Shimmer:DDA,False,8,24,free_parameters,bins_4,Binned,10
Parkinsons__13,Parkinsons,Shimmer:DDA,False,8,24,equal,raw,Observations,32
Parkinsons__14,Parkinsons,NHR,False,8,24,payload,means,Means,2
Parkinsons__14,Parkinsons,NHR,False,8,24,legacy_box,means,Means,2
Parkinsons__14,Parkinsons,NHR,False,8,24,free_parameters,means,Means,2
Parkinsons__14,Parkinsons,NHR,False,8,24,equal,raw,Observations,32
Parkinsons__15,Parkinsons,HNR,False,8,24,payload,means,Means,2
Parkinsons__15,Parkinsons,HNR,False,8,24,legacy_box,means,Means,2
Parkinsons__15,Parkinsons,HNR,False,8,24,free_parameters,means,Means,2
Parkinsons__15,Parkinsons,HNR,False,8,24,equal,raw,Observations,32
Parkinsons__16,Parkinsons,RPDE,False,8,24,payload,means,Means,2
Parkinsons__16,Parkinsons,RPDE,False,8,24,legacy_box,means,Means,2
Parkinsons__16,Parkinsons,RPDE,False,8,24,free_parameters,means,Means,2
Parkinsons__16,Parkinsons,RPDE,False,8,24,equal,raw,Observations,32
Parkinsons__17,Parkinsons,DFA,False,8,24,payload,means,Means,2
Parkinsons__17,Parkinsons,DFA,False,8,24,legacy_box,means,Means,2
Parkinsons__17,Parkinsons,DFA,False,8,24,free_parameters,means,Means,2
Parkinsons__17,Parkinsons,DFA,False,8,24,equal,raw,Observations,32
Parkinsons__18,Parkinsons,spread1,False,8,24,payload,means,Means,2
Parkinsons__18,Parkinsons,spread1,False,8,24,legacy_box,means,Means,2
Parkinsons__18,Parkinsons,spread1,False,8,24,free_parameters,means,Means,2
Parkinsons__18,Parkinsons,spread1,False,8,24,equal,raw,Observations,32
Parkinsons__19,Parkinsons,spread2,False,8,24,payload,means,Means,2
Parkinsons__19,Parkinsons,spread2,False,8,24,legacy_box,means,Means,2
Parkinsons__19,Parkinsons,spread2,False,8,24,free_parameters,means,Means,2
Parkinsons__19,Parkinsons,spread2,False,8,24,equal,raw,Observations,32
Parkinsons__20,Parkinsons,D2,False,8,24,payload,means,Means,2
Parkinsons__20,Parkinsons,D2,False,8,24,legacy_box,means,Means,2
Parkinsons__20,Parkinsons,D2,False,8,24,free_parameters,means,Means,2
Parkinsons__20,Parkinsons,D2,False,8,24,equal,raw,Observations,32
Parkinsons__21,Parkinsons,PPE,False,8,24,payload,means,Means,2
Parkinsons__21,Parkinsons,PPE,False,8,24,legacy_box,means,Means,2
Parkinsons__21,Parkinsons,PPE,False,8,24,free_parameters,means,Means,2
Parkinsons__21,Parkinsons,PPE,False,8,24,equal,raw,Observations,32
Retinopathy__00,Retinopathy,feature_2,True,540,611,payload,bins_4,Binned,10
Retinopathy__00,Retinopathy,feature_2,True,540,611,legacy_box,bins_4,Binned,10
Retinopathy__00,Retinopathy,feature_2,True,540,611,free_parameters,bins_4,Binned,10
Retinopathy__00,Retinopathy,feature_2,True,540,611,equal,raw,Observations,1151
Retinopathy__01,Retinopathy,feature_3,True,540,611,payload,bins_4,Binned,10
