key,task,dataset,kind,observer,selected,runner_up,reference_score,runner_reference_score,reference_margin,selected_test_score,runner_test_score,default,default_test_score,default_test_loss,selected_test_loss,transfer_gain,reference_ties,selected_still_best
profile_bidmc_29,profile,BIDMC,empirical,hard,Dot plot,Line chart,83.16122368869445,82.45276947373075,0.7084542149636945,87.51875266603014,84.58909026456637,Line chart,84.58909026456637,0.1821855476543543,0.14261226255815213,0.03957328509620217,1,True
profile_bidmc_29,profile,BIDMC,empirical,soft,Dot plot,Line chart,83.44079771098332,82.44967091067318,0.9911268003101412,88.14536518759593,86.01736694774748,Line chart,86.01736694774748,0.16255592967344007,0.134489598938916,0.02806633073452408,1,True
profile_bidmc_30,profile,BIDMC,empirical,hard,Dot plot,Line chart,86.4590840011001,84.5733702689159,1.8857137321842004,89.98406415003808,86.90227855628017,Line chart,86.90227855628017,0.15071781386304403,0.1113078848412704,0.039409929021773635,1,True
profile_bidmc_30,profile,BIDMC,empirical,soft,Dot plot,Line chart,86.21379323383826,84.20217564720325,2.011617586635012,90.55032959746971,88.48836466226125,Line chart,88.48836466226125,0.1300920791301307,0.10435821100307008,0.025733868127060633,1,True
profile_bidmc_31,profile,BIDMC,empirical,hard,Dot plot,Line chart,93.39688255813476,92.4538570671661,0.9430254909686653,95.04925371028189,93.41970020376094,Line chart,93.41970020376094,0.07043803161310234,0.05208611426669803,0.018351917346404317,1,True
profile_bidmc_31,profile,BIDMC,empirical,soft,Dot plot,Line chart,93.38996398888072,92.4751657634353,0.9147982254454234,95.39409690233038,94.22746614130772,Line chart,94.22746614130772,0.06126169040813995,0.0482828943009481,0.012978796107191853,1,True
profile_bidmc_32,profile,BIDMC,empirical,hard,Dot plot,Line chart,46.335493562791314,40.33493559659348,6.000557966197832,57.975050689686356,52.935598935346086,Line chart,52.935598935346086,0.8890879108052963,0.7248799062764735,0.16420800452882278,1,True
profile_bidmc_32,profile,BIDMC,empirical,soft,Dot plot,Line chart,48.591680565103275,47.49585806683213,1.095822498271147,57.942239638479684,52.460435559871556,Line chart,52.460435559871556,0.9061984318805918,0.7258566569730863,0.18034177490750547,1,True
profile_bidmc_33,profile,BIDMC,empirical,hard,Dot plot,Line chart,94.18191834532855,92.48365963317093,1.6982587121576245,95.49139690443538,94.75318281412552,Line chart,94.75318281412552,0.055373519179477027,0.0472147569490126,0.008158762230464425,1,True
profile_bidmc_33,profile,BIDMC,empirical,soft,Dot plot,Line chart,94.15197455946223,93.01272567534133,1.139248884120903,95.83312879492341,94.54800971165601,Line chart,94.54800971165601,0.05766372348789765,0.043480487984415325,0.014183235503482328,1,True
profile_bidmc_34,profile,BIDMC,empirical,hard,Dot plot,Line chart,95.46828778315972,93.1759240445365,2.292363738623223,96.79980594785485,95.5195504062597,Line chart,95.5195504062597,0.046906100109184376,0.033059922184855026,0.01384617792432935,1,True
profile_bidmc_34,profile,BIDMC,empirical,soft,Dot plot,Line chart,95.41580290172384,93.08425140858155,2.3315514931422854,96.92944919584792,95.25937132125122,Line chart,95.25937132125122,0.049765483573910446,0.0316782033698342,0.018087280204076246,1,True
profile_bidmc_35,profile,BIDMC,empirical,hard,Dot plot,Line chart,95.46755343134751,94.47458349938928,0.9929699319582284,96.89271946999081,95.4231828957081,Line chart,95.4231828957081,0.04796336660970642,0.03206928804358272,0.015894078566123696,1,True
profile_bidmc_35,profile,BIDMC,empirical,soft,Dot plot,Line chart,95.57693786261778,94.40329639204744,1.1736414705703453,96.96870254776222,95.632076650429,Line chart,95.632076650429,0.045674249713695825,0.03126057555266057,0.014413674161035256,1,True
profile_bidmc_36,profile,BIDMC,empirical,hard,Dot plot,Line chart,92.86042025023353,90.83416932197555,2.02625092825798,95.36311324320101,92.72761902535112,Line chart,92.72761902535112,0.07842734506814689,0.048623483431939875,0.02980386163620701,1,True
profile_bidmc_36,profile,BIDMC,empirical,soft,Dot plot,Line chart,92.80373073965917,91.58172338882652,1.222007350832655,95.04960281057262,93.33175105768937,Line chart,93.33175105768937,0.07144673561507385,0.052082250141467425,0.019364485473606426,1,True
profile_bidmc_37,profile,BIDMC,empirical,hard,Dot plot,Line chart,79.2917228954741,77.99332242743883,1.2984004680352683,84.90959595861122,80.40002747014316,Line chart,80.40002747014316,0.24378066956675304,0.1777231874798289,0.06605748208692414,1,True
profile_bidmc_37,profile,BIDMC,empirical,soft,Dot plot,Line chart,79.89194942064704,78.59237732296545,1.2995720976815903,85.06509285544519,82.77740337845147,Line chart,82.77740337845147,0.20805915526014068,0.17557033846932196,0.03248881679081872,1,True
profile_bidmc_38,profile,BIDMC,empirical,hard,Dot plot,Line chart,96.95971960549532,95.79720710473707,1.162512500758254,97.84128520921051,96.87578161647818,Line chart,96.87578161647818,0.032249736016482324,0.022063434532504075,0.010186301483978248,1,True
profile_bidmc_38,profile,BIDMC,empirical,soft,Dot plot,Line chart,96.87661289599448,95.98017637856218,0.8964365174323063,97.79725700080373,96.9783919988164,Line chart,96.9783919988164,0.031157538693985305,0.022523566271170227,0.008633972422815078,1,True
profile_bidmc_39,profile,BIDMC,empirical,hard,Dot plot,Line chart,94.95042214020998,92.70699243965852,2.2434297005514594,96.62358908381174,95.09093587847421,Line chart,95.09093587847421,0.05162494275794642,0.03494396087128933,0.016680981886657092,1,True
profile_bidmc_39,profile,BIDMC,empirical,soft,Dot plot,Line chart,95.0578650619726,93.05096729090049,2.0068977710721185,96.58084397476884,95.11383678262847,Line chart,95.11383678262847,0.051371739198559405,0.03540201021772385,0.015969728980835554,1,True
profile_bidmc_40,profile,BIDMC,empirical,hard,Dot plot,Line chart,82.3644930916609,81.25043679361181,1.1140562980490927,86.03866818830528,83.80512431586789,Line chart,83.80512431586789,0.19324445630666195,0.16226810695324548,0.030976349353416477,1,True
profile_bidmc_40,profile,BIDMC,empirical,soft,Dot plot,Line chart,82.28306681776826,80.34122491917564,1.9418418985926138,87.62148947268088,85.92978904039248,Line chart,85.92978904039248,0.16374078322237734,0.14127254172252532,0.02246824149985202,1,True
profile_bidmc_41,profile,BIDMC,empirical,hard,Dot plot,Line chart,98.47987016502698,96.78827099105729,1.691599173969692,98.87282823070426,97.79634284691531,Line chart,97.79634284691531,0.022533124337115178,0.0114002177288351,0.011132906608280077,1,True
profile_bidmc_41,profile,BIDMC,empirical,soft,Dot plot,Line chart,98.47912581353191,96.92813554138941,1.5509902721424993,98.936681202892,97.90930726290946,Line chart,97.90930726290946,0.021353360528601574,0.0107474678165868,0.010605892712014774,1,True
