key,dataset,candidate,family,setting,H,observer,task,loss,successful,winner,score
WDBC__02,WDBC,Bar chart / means,Bar chart,means,384,threshold,spread,0.9792924560474806,4,False,50.523104705655044
WDBC__02,WDBC,Bar chart / means,Bar chart,means,384,threshold,five,0.4572267974603086,4,False,68.62349784829823
WDBC__02,WDBC,Bar chart / means,Bar chart,means,384,alpha,median,0.0816634700524139,4,False,92.4501961734497
WDBC__02,WDBC,Bar chart / means,Bar chart,means,384,alpha,spread,0.9792924560474806,4,False,50.523104705655044
WDBC__02,WDBC,Bar chart / means,Bar chart,means,384,alpha,five,0.4553995411381781,4,False,68.7096547534955
WDBC__02,WDBC,Box plot / five,Box plot,five,384,threshold,median,0.0094178138323815,4,False,99.06700538633991
WDBC__02,WDBC,Box plot / five,Box plot,five,384,threshold,spread,0.0256985211242786,4,False,97.49453464200083
WDBC__02,WDBC,Box plot / five,Box plot,five,384,threshold,five,0.4850134512796984,4,False,67.33945737247417
WDBC__02,WDBC,Box plot / five,Box plot,five,384,alpha,median,0.0094178138323815,4,False,99.06700538633991
WDBC__02,WDBC,Box plot / five,Box plot,five,384,alpha,spread,0.0219855421727921,4,True,97.84874234854146
WDBC__02,WDBC,Box plot / five,Box plot,five,384,alpha,five,0.2084368648391335,4,False,82.7515304354042
WDBC__02,WDBC,Interval plot / five,Interval plot,five,384,threshold,median,0.0079445927049147,4,False,99.21180263653237
WDBC__02,WDBC,Interval plot / five,Interval plot,five,384,threshold,spread,0.0219855421727916,4,False,97.8487423485415
WDBC__02,WDBC,Interval plot / five,Interval plot,five,384,threshold,five,0.4825144062062032,4,False,67.45297015757362
WDBC__02,WDBC,Interval plot / five,Interval plot,five,384,alpha,median,0.0079445927049147,4,False,99.21180263653237
WDBC__02,WDBC,Interval plot / five,Interval plot,five,384,alpha,spread,0.0219855421727934,4,True,97.84874234854134
WDBC__02,WDBC,Interval plot / five,Interval plot,five,384,alpha,five,0.2081422206136403,4,False,82.77171204993394
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,384,threshold,median,0.0300203653403599,4,False,97.08545905008005
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,384,threshold,spread,0.0195427209872623,4,True,98.08318763059401
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,384,threshold,five,0.0197197255191794,4,True,98.06616219872187
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,384,alpha,median,0.0150690848003855,4,False,98.51546214676128
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,384,alpha,spread,0.0264434635281872,4,False,97.42377788277854
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,384,alpha,five,0.0154390250930745,4,True,98.47957142560486
WDBC__02,WDBC,Histogram / 16,Histogram,16,384,threshold,median,0.0081388678228563,4,False,99.19268385709276
WDBC__02,WDBC,Histogram / 16,Histogram,16,384,threshold,spread,0.175274974627224,4,False,85.08647096116226
WDBC__02,WDBC,Histogram / 16,Histogram,16,384,threshold,five,0.0507716794617416,4,False,95.16815303894091
WDBC__02,WDBC,Histogram / 16,Histogram,16,384,alpha,median,0.004647321546491,4,False,99.53741761443834
WDBC__02,WDBC,Histogram / 16,Histogram,16,384,alpha,spread,0.1716131638195105,4,False,85.3524039231478
WDBC__02,WDBC,Histogram / 16,Histogram,16,384,alpha,five,0.0558037386723598,4,False,94.71457273465131
